subject,condition,trial,hangingWeight,power,cadence,torque,lean
13,3,2,25.5,1425,117,116.305535336385,NaN
13,1,2,25.5,1335,116,109.899232255697,NaN
13,2,2,25.5,1336,114,111.911054721459,3.88587568759055
13,3,3,25.5,1418,119,113.789097128222,1.16165682852607
13,2,3,25.5,1320,115,109.609317329375,1.31647504071477
13,1,3,25.5,1352,118,109.412279522157,5.48746816879524
14,2,1,12,764,129,56.5555239638177,NaN
14,3,1,12,892,132,64.5300951081685,0.382691761439238
14,1,1,12,925,129,68.4736383069782,12.3103332235778
14,2,2,12,864,134,61.5715839543571,NaN
14,1,2,12,925,136,64.9492598647073,9.02144184878618
14,3,2,12,905,141,61.2915844673044,0.623318209114256
14,3,3,12,962,142,64.6931219384803,0.570954054115199
14,2,3,12,847,128,63.1894859994541,NaN
14,1,3,12,912,125,69.6716678879081,15.0483500012267
15,1,1,23.5,1066,102,99.7995113740944,4.9206984311965
15,2,1,23.5,971,92,100.786597657976,3.80928553170656
15,3,1,23.5,1035,94,105.143850702199,0.358512371777481
15,3,2,23.5,1059,96,105.340677958948,0.879481310820334
15,1,2,23.5,1052,92,109.194130521309,4.79330234094719
15,2,2,23.5,967,84,109.930592835616,3.64330917400127
15,3,3,23.5,1029,94,104.534321132911,0.444661095834229
15,2,3,23.5,1032,90,109.498600847224,3.36256723998703
15,1,3,23.5,1030,93,105.761026699776,5.18161423751818
16,1,1,20,918,100,87.662542655016,4.85170549659229
16,2,1,20,851,97,83.7778494254864,2.24311530118102
16,3,1,20,901,102,84.3521198387045,NaN
16,3,2,20,910,103,84.3675717749271,0.762187565674993
16,2,2,20,890,99,85.8472117283557,1.95594283138976
16,1,2,20,918,101,86.7945966881346,14.0655679135241
16,2,3,20,910,101,86.0382167605692,1.50906797171491
16,3,3,20,955,100,91.195782391656,NaN
16,1,3,20,894,99,86.2330418934269,10.52593778063
17,1,1,12,690,118,55.8391071525802,9.97058994308171
17,2,1,12,640,109,56.0692643553099,3.60840503787356
17,3,1,12,657,116,54.0852401438148,0.485226180664808
17,1,2,12,687,114,57.5470767916485,8.44282825463992
17,3,2,12,665,112,56.6989484764877,0.578684735867449
17,2,2,12,640,107,57.1172879881194,NaN
17,1,3,12,687,114,57.5470767916485,7.04833325568232
17,2,3,12,645,111,55.4891558347419,3.99462437536868
17,3,3,12,647,115,53.7251729637163,0.659372775843485
18,1,1,12,657,114,55.034104005987,9.92507347939522
18,2,1,12,605,108,53.4937447614426,5.58908499248993
18,3,1,12,675,117,55.0920956856561,1.0018146267926
18,3,2,12,674,114,56.4581219178618,1.08396835178492
18,1,2,12,660,109,57.8214288664133,10.6164346825113
18,2,2,12,662,113,55.9436667222131,6.76203087025394
18,3,3,12,706,119,56.6538099947285,0.922478274411301
18,2,3,12,637,112,54.3116243301093,6.09687878102842
18,1,3,12,666,115,55.3028828343664,8.89709668077828
19,1,1,17,829,92,86.0474659716399,3.61155531091326
19,3,1,17,780,88,84.641492462508,0.352508668106322
19,2,1,17,775,91,81.3264269645399,3.22271658529976
19,3,2,17,789,93,81.0150000641971,0.442740104301105
19,2,2,17,766,90,81.2751242722612,3.49960317538598
19,1,2,17,883,92,91.6524878805284,4.32898967759192
19,3,3,17,781,90,82.8666737031802,0.664730612921776
19,2,3,17,774,91,81.2214896394244,2.80964024750108
19,1,3,17,847,96,84.2526479992721,4.29484159271052
